name,geometry,latitude,longitude
Clinic,POINT (77.6774852 12.9134182),12.9134182,77.6774852
Shanti Hospital,POINT (77.5857517 12.9235041),12.9235041,77.5857517
Apollo Hospital,POINT (77.6765455 12.9263714),12.9263714,77.6765455
Narayana Hrudayalaya Dental Clinic,POINT (77.6349897 12.9155759),12.9155759,77.6349897
Dr Ganesh Medical and Diabetic Clinic,POINT (77.6419101 12.9129006),12.9129006,77.6419101
JBS Hospital,POINT (77.5745968 12.9207173),12.9207173,77.5745968
Jayanagar heart Centre,POINT (77.584433 12.9231684),12.9231684,77.584433
Sri Vijayalakshmi Pragathi Hospital,POINT (77.6409543 13.0371728),13.0371728,77.6409543
Sathya Hospital,POINT (77.6364728 13.0185503),13.0185503,77.6364728
Chord Road Hospital Pvt Ltd,POINT (77.5404836 12.9981215),12.9981215,77.5404836
Pristline Hospital,POINT (77.5436127 12.9978931),12.9978931,77.5436127
"Bengaluru Hospital, Susruta Medical Aid AndResearch Home Limited",POINT (77.5802836 12.9376734),12.9376734,77.5802836
Manipal Northside Hospital,POINT (77.5639285 13.0011275),13.0011275,77.5639285
Government Primary Health Centre,POINT (77.6162619 12.9503234),12.9503234,77.6162619
Bird and Rabbit park,POINT (77.5969363 12.9770068),12.9770068,77.5969363
Divakars speciality Hospital,POINT (77.5924585 12.9100629),12.9100629,77.5924585
Hema Poly Clinic,POINT (77.7137961 12.960765),12.960765,77.7137961
BMTC Hospital,POINT (77.5923374 12.9234317),12.9234317,77.5923374
Ramakrishna Nursing Home and Hospital,POINT (77.583477 12.9364329),12.9364329,77.583477
Sri Vinayaka Poly Clinic,POINT (77.5510802 12.939058),12.939058,77.5510802
RMV Hospital,POINT (77.576876 13.0322788),13.0322788,77.576876
Yashomathi Hospitals,POINT (77.7112689 12.9559302),12.9559302,77.7112689
Mallya Audikesh Diagnostics Center,POINT (77.6011944 12.9815051),12.9815051,77.6011944
Mallige Medical Centre,POINT (77.5803846 12.985247),12.985247,77.5803846
Devine Hospital,POINT (77.6039313 13.0038999),13.0038999,77.6039313
Lalbagh Nursing Home,POINT (77.5861734 12.9452313),12.9452313,77.5861734
Dr. Batra Clinic,POINT (77.7271089 12.9797287),12.9797287,77.7271089
Government Maternity Hospital,POINT (77.5817424 12.9988604),12.9988604,77.5817424
Soujanya Clinic,POINT (77.54325 12.9681189),12.9681189,77.54325
Kanva Diagnostics Collection Centre,POINT (77.5429164 12.967291),12.967291,77.5429164
New Akshay Mallya Hospital,POINT (77.6990468 12.9568527),12.9568527,77.6990468
Presidency Hospital,POINT (77.69923 12.9951629),12.9951629,77.69923
BGS Gleneagles Hospitals,POINT (77.4974982 12.90306),12.90306,77.4974982
Srinivas Clinic,POINT (77.5830655 12.9073391),12.9073391,77.5830655
,POINT (77.5652959 13.0043642),13.0043642,77.5652959
Metro Hospital,POINT (77.560715 12.8915893),12.8915893,77.560715
Brookefield Hospital(A Unit Of Sanjeevani Hospital),POINT (77.7168891 12.9668213),12.9668213,77.7168891
Tenet diagnostics,POINT (77.7087044 12.9573067),12.9573067,77.7087044
ESI Hospital,POINT (77.6523255 12.995242),12.995242,77.6523255
Karunalayam Hospital,POINT (77.7073377 12.9111263),12.9111263,77.7073377
SDS Tuberculosis Research Centre and Rajiv Gandhi Institute of Chest diseases,POINT (77.5907094 12.9367955),12.9367955,77.5907094
Maiya Multispecialty Hospital,POINT (77.5854533 12.942614),12.942614,77.5854533
Narayana Netralaya,POINT (77.6094485 12.9671401),12.9671401,77.6094485
London Hospital,POINT (77.5482263 13.0806193),13.0806193,77.5482263
Nagappa Hadli Hospital,POINT (77.5489026 13.0829889),13.0829889,77.5489026
"Vasan Eye Care Hospital, Nagarabhavi",POINT (77.5129757 12.9746134),12.9746134,77.5129757
Rc Hospital,POINT (77.5153776 12.930936),12.930936,77.5153776
Veturi Child Health Centre,POINT (77.5156579 12.9263226),12.9263226,77.5156579
Ketham's Hospital Pvt. Ltd,POINT (77.5582571 13.0686568),13.0686568,77.5582571
Ragavendra Hospital,POINT (77.5155377 13.0425433),13.0425433,77.5155377
Guru Kripa Clinic,POINT (77.5676844 13.0349833),13.0349833,77.5676844
Deeksha Orthopaedic Hospital,POINT (77.5964894 13.0973922),13.0973922,77.5964894
Shushrusha Hospital,POINT (77.5980216 13.0997316),13.0997316,77.5980216
Chirag Hospital and Maternity Center,POINT (77.5913594 12.9126298),12.9126298,77.5913594
,POINT (77.5483881 12.9293305),12.9293305,77.5483881
Udhbhava Hospital,POINT (77.5489346 12.9256842),12.9256842,77.5489346
DG Hospital,POINT (77.5598673 12.9206648),12.9206648,77.5598673
Srinivasa Nursing Home,POINT (77.6174893 12.9423039),12.9423039,77.6174893
Kangila Clinic,POINT (77.5660602 12.9336501),12.9336501,77.5660602
Chaitanya Hospital,POINT (77.5861904 13.0990911),13.0990911,77.5861904
"Vasan Eye Care Hospital, Koramangala",POINT (77.6253403 12.9402371),12.9402371,77.6253403
health nest,POINT (77.6488507 12.9075992),12.9075992,77.6488507
Amma's ENT Clinic,POINT (77.5793947 13.0281613),13.0281613,77.5793947
Krishna Specialty Clinic,POINT (77.5789272 13.026721),13.026721,77.5789272
Seventh Day Adventist Hospital,POINT (77.6113272 12.995625),12.995625,77.6113272
Srinivasa Nursing Home,POINT (77.6220456 12.9965077),12.9965077,77.6220456
Kids Care Clinic,POINT (77.6050207 12.914434),12.914434,77.6050207
Pristine Health care,POINT (77.6186753 12.9382768),12.9382768,77.6186753
Prerana Dental Clinic,POINT (77.630774 12.9186845),12.9186845,77.630774
Mamtha Health Center,POINT (77.6318764 12.9180492),12.9180492,77.6318764
Suprabha Hospital,POINT (77.5469059 13.0079383),13.0079383,77.5469059
Sangolli Nursing Home,POINT (77.5469273 13.0083564),13.0083564,77.5469273
Diacon Hospital,POINT (77.5498337 13.0037682),13.0037682,77.5498337
Agarwal Eye Hospital,POINT (77.6221301 12.9273417),12.9273417,77.6221301
Sri Sapthagiri Clinic,POINT (77.6449626 12.8736928),12.8736928,77.6449626
Sagar Dental Clinic,POINT (77.6300572 12.9169725),12.9169725,77.6300572
Venkateshwara Hospital,POINT (77.6170828 12.9257842),12.9257842,77.6170828
Namratha Hospital,POINT (77.543073 13.0047859),13.0047859,77.543073
Devi Eye Hospital,POINT (77.6374069 12.9162576),12.9162576,77.6374069
Mysore Hospital,POINT (77.5397051 13.0275337),13.0275337,77.5397051
Jayanagar Orthopaedic Centre,POINT (77.5877091 12.9293288),12.9293288,77.5877091
Shekar Hospital,POINT (77.5675192 12.9458714),12.9458714,77.5675192
Punya Hospital,POINT (77.5359798 13.0011459),13.0011459,77.5359798
Vasan Eye Care,POINT (77.6265538 12.9102705),12.9102705,77.6265538
Parimala Clinic,POINT (77.5788941 12.9135707),12.9135707,77.5788941
Karanth Speciality Hospital,POINT (77.6193573 12.9160081),12.9160081,77.6193573
Gangothri Hospital,POINT (77.6138218 12.9162878),12.9162878,77.6138218
Spurthy Hospital,POINT (77.61116 12.9239335),12.9239335,77.61116
Prasad Eye Hospital,POINT (77.6086817 12.9351929),12.9351929,77.6086817
NIMHANS Screening block,POINT (77.5937737 12.9387115),12.9387115,77.5937737
NIMHANS OPD,POINT (77.5942994 12.9388056),12.9388056,77.5942994
Manjunath Hospital,POINT (77.5940621 12.9483598),12.9483598,77.5940621
Karthik Hospital,POINT (77.5942592 12.9484356),12.9484356,77.5942592
Aswad Hospital,POINT (77.6247622 12.9147871),12.9147871,77.6247622
TSR heart care,POINT (77.5933686 13.0264438),13.0264438,77.5933686
Fortis Hospital,POINT (77.5490879 13.0022409),13.0022409,77.5490879
Citi Hospital,POINT (77.5510696 12.9956506),12.9956506,77.5510696
"Vasan Eye Care Hospital, Rajaji Nagar",POINT (77.5505328 12.9995223),12.9995223,77.5505328
Ananya Hospital,POINT (77.55045 12.9998205),12.9998205,77.55045
Baptist,POINT (77.5719766 12.9970915),12.9970915,77.5719766
Shivakrupa Hospital,POINT (77.5479135 12.973967),12.973967,77.5479135
Dr. Ambedkar Medical College Hospital,POINT (77.6139585 13.0248621),13.0248621,77.6139585
,POINT (77.5755205 13.012224),13.012224,77.5755205
"Sri Maruthi hospital, Sheshadripuram",POINT (77.5742046 12.9926441),12.9926441,77.5742046
Sunny Medicals Hospital Clinic,POINT (77.6699091 12.9267954),12.9267954,77.6699091
Karunya Homoeopathy Centre,POINT (77.653594 13.0307899),13.0307899,77.653594
Ayur Seva Hospital,POINT (77.6653699 13.0148188),13.0148188,77.6653699
Vinayaka Specialty Hospital,POINT (77.6218548 12.8990004),12.8990004,77.6218548
Koshys Hospital,POINT (77.6760593 13.0207033),13.0207033,77.6760593
Gurushree Hitech Multispeciality Hospital,POINT (77.5265054 12.9593144),12.9593144,77.5265054
"Shobha Hospital, Bengaluru Urban",POINT (77.5313495 12.9755854),12.9755854,77.5313495
"Gayathri Hospital, Bengaluru Urban",POINT (77.5426819 12.9744053),12.9744053,77.5426819
MEDSOL Hospital,POINT (77.4929837 12.9309944),12.9309944,77.4929837
Government Primary Health Centre,POINT (77.504284 13.003447),13.003447,77.504284
Bharathy Hospital,POINT (77.5326369 12.9761294),12.9761294,77.5326369
Yogananda Medical and Research Centre,POINT (77.5598033 12.9202791),12.9202791,77.5598033
"Government Primary Healthcare Center, Begur",POINT (77.6246582 12.8778532),12.8778532,77.6246582
Cure & Care Dental Clinic Dr. Moumita Mukherjee,POINT (77.6492213 12.9074968),12.9074968,77.6492213
Shirdi Sai Hospital,POINT (77.5648754 13.0372438),13.0372438,77.5648754
Nayantara Opticals,POINT (77.6198497 12.8924828),12.8924828,77.6198497
Kottakkal Arya Vaidya Sala,POINT (77.5850591 12.9411061),12.9411061,77.5850591
"Charan Homeopathy, Ramamurthy Nagar",POINT (77.6674667 13.0100409),13.0100409,77.6674667
Dhanavantri Hospital,POINT (77.6348642 13.0834023),13.0834023,77.6348642
T.R.Hospital,POINT (77.5841671 12.8807554),12.8807554,77.5841671
Rainbow Clinic and Diagnostic Laboratory,POINT (77.5816961 12.891484),12.891484,77.5816961
Cloud Nine Hospital,POINT (77.5625316 13.0078742),13.0078742,77.5625316
"BBMP Park, Swimming Pool Extension",POINT (77.5757942 13.000713),13.000713,77.5757942
"Nayak Hospital, Gayathri Nagar",POINT (77.5606403 12.9993857),12.9993857,77.5606403
"Rajnandani Hospital, Bangalore",POINT (77.5701276 12.8845448),12.8845448,77.5701276
"Maharaja Agrasen Hospital, Bengaluru Urban",POINT (77.5550223 12.915903),12.915903,77.5550223
Ramanjenaya Nagara Park,POINT (77.5468577 12.9117827),12.9117827,77.5468577
Banashankari Referral Hospital,POINT (77.5642974 12.9231342),12.9231342,77.5642974
Bangalore Kidney Foundation - NU Hospital,POINT (77.555816 12.9179548),12.9179548,77.555816
"Panacea Hospital, Nagarabhavi",POINT (77.511726 12.9613237),12.9613237,77.511726
Shanbhag Hospital,POINT (77.5435424 12.9856882),12.9856882,77.5435424
Trupti Nursing Home,POINT (77.5397544 12.9946566),12.9946566,77.5397544
Srivijaya Speciality Hospital,POINT (77.6580271 13.0124345),13.0124345,77.6580271
